Date : 2026-03-24 04:33:42
Directory : /workspace
Total : 76 files,  1923 codes, 144 comments, 259 blanks, all 2326 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C#                 |         66 |      1,726 |        144 |        211 |      2,081 |
| JSON               |          4 |         61 |          0 |          4 |         65 |
| YAML               |          1 |         52 |          0 |          2 |         54 |
| XML                |          2 |         48 |          0 |         12 |         60 |
| Markdown           |          1 |         29 |          0 |         28 |         57 |
| JSON with Comments |          1 |          6 |          0 |          1 |          7 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         76 |      1,923 |        144 |        259 |      2,326 |
| .devcontainer                                                                  |          3 |         59 |          0 |          4 |         63 |
| FinisServer                                                                    |         69 |      1,722 |        144 |        211 |      2,077 |
| FinisServer (Files)                                                            |          4 |        171 |         18 |         23 |        212 |
| FinisServer/Configurations                                                     |          7 |        253 |         26 |         27 |        306 |
| FinisServer/Configurations (Files)                                             |          1 |         18 |          0 |          2 |         20 |
| FinisServer/Configurations/Database                                            |          2 |        192 |         26 |          8 |        226 |
| FinisServer/Configurations/Database (Files)                                    |          1 |        157 |         26 |          6 |        189 |
| FinisServer/Configurations/Database/Interceptors                               |          1 |         35 |          0 |          2 |         37 |
| FinisServer/Configurations/Options                                             |          4 |         43 |          0 |         17 |         60 |
| FinisServer/Controllers                                                        |          4 |        191 |          0 |         24 |        215 |
| FinisServer/Interfaces                                                         |          1 |          6 |          0 |          2 |          8 |
| FinisServer/Models                                                             |         40 |        334 |         97 |         81 |        512 |
| FinisServer/Models (Files)                                                     |          3 |         32 |          0 |          6 |         38 |
| FinisServer/Models/Dtos                                                        |         18 |        122 |          0 |         33 |        155 |
| FinisServer/Models/Entities                                                    |         10 |        112 |         97 |         29 |        238 |
| FinisServer/Models/Enums                                                       |          3 |         37 |          0 |          6 |         43 |
| FinisServer/Models/Exceptions                                                  |          6 |         31 |          0 |          7 |         38 |
| FinisServer/Properties                                                         |          1 |         23 |          0 |          1 |         24 |
| FinisServer/Services                                                           |         12 |        744 |          3 |         53 |        800 |
| FinisServer/Services (Files)                                                   |          6 |         58 |          0 |         15 |         73 |
| FinisServer/Services/Impl                                                      |          6 |        686 |          3 |         38 |        727 |
| FinisServerTest                                                                |          4 |        142 |          0 |         44 |        186 |
| FinisServerTest (Files)                                                        |          3 |        113 |          0 |         16 |        129 |
| FinisServerTest/TestResources                                                  |          1 |         29 |          0 |         28 |         57 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /workspace/.devcontainer/.env                                                  | Properties         |          1 |          0 |          1 |          2 |
| /workspace/.devcontainer/devcontainer.json                                     | JSON with Comments |          6 |          0 |          1 |          7 |
